geonameid,name,latitude,longitude,feature_class,feature_code,country_code,population
2808436,Wilsdruff,51.05199,13.53657,P,PPL,DE,13772
2808461,Wilnsdorf,50.81667,8.1,P,PPLA4,DE,21505
2808473,Wilmersdorf,52.48333,13.31667,P,PPLX,DE,101877
2808487,Willwerscheid,50.03333,6.93333,P,PPLA4,DE,56
2808493,Willstätt,48.54071,7.89314,P,PPLA4,DE,9061
2808496,Willsbach,49.13626,9.35632,P,PPL,DE,4200
2808497,Willroth,50.56912,7.52752,P,PPLA4,DE,821
2808514,Willmering,49.25,12.66667,P,PPLA4,DE,2193
2808516,Willmenrod,50.54139,7.98139,P,PPLA4,DE,690
2808521,Willmars,50.5,10.25,P,PPLA4,DE,707
2808533,Willingshausen,50.85,9.2,P,PPLA4,DE,5385
2808544,Willingen,51.29418,8.6091,P,PPL,DE,6132
2808545,Willingen,50.66758,8.08774,P,PPLA4,DE,293
2808559,Willich,51.26371,6.54734,P,PPLA4,DE,51843
2808571,Willerstedt,51.08994,11.45286,P,PPLA4,DE,277
2808596,Willenscharen,54.00991,9.80891,P,PPLA4,DE,161
2808619,Willebadessen,51.62564,9.03694,P,PPL,DE,8821
2808624,Willanzheim,49.68011,10.23248,P,PPL,DE,1590
2808644,Wilkau-Haßlau,50.67504,12.51482,P,PPL,DE,11850
2808649,Wilhermsdorf,49.48308,10.71555,P,PPL,DE,5105
